mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-let-7a-2-3p,0.9009138179027971,1.0,1.0,19,1202,0.015806988352745424,539,26380,0.020432145564821834,0.7736333075054255
hsa-let-7a-3p,0.9747759057235852,1.0,1.0,62,1202,0.051580698835274545,1698,26380,0.0643669446550417,0.8013538488071511
hsa-let-7a-5p,0.6426674379284703,1.0,1.0,536,1202,0.4459234608985025,11888,26380,0.4506444275966641,0.9895239652172355
hsa-let-7b-3p,0.862217683824994,1.0,1.0,86,1202,0.07154742096505824,2095,26380,0.07941622441243366,0.9009169284287525
hsa-let-7b-5p,0.996192737190899,1.0,1.0,484,1202,0.40266222961730447,11593,26380,0.439461713419257,0.9162623667130589
hsa-let-7c-3p,0.9569613991406319,1.0,1.0,5,1202,0.004159733777038269,203,26380,0.0076952236542835485,0.5405604780210322
hsa-let-7c-5p,0.999569652976657,1.0,1.0,421,1202,0.3502495840266223,10432,26380,0.3954510993176649,0.8856963215703888
hsa-let-7d-3p,0.9991193573367277,1.0,1.0,20,1202,0.016638935108153077,796,26380,0.030174374526156178,0.5514260152676862
hsa-let-7d-5p,0.9945829201588072,1.0,1.0,455,1202,0.3785357737104825,10904,26380,0.4133434420015163,0.9157899587749935
hsa-let-7e-3p,0.896185948495972,1.0,1.0,20,1202,0.016638935108153077,561,26380,0.021266110689916604,0.7824155225545065
hsa-let-7e-5p,0.9961753648967602,1.0,1.0,445,1202,0.370216306156406,10725,26380,0.4065579984836998,0.9106112966345912
hsa-let-7f-1-3p,0.714987341811299,1.0,1.0,36,1202,0.029950083194675542,856,26380,0.03244882486732373,0.922994386303202
hsa-let-7f-2-3p,0.9205871854227127,1.0,1.0,119,1202,0.09900166389351081,2927,26380,0.11095526914329037,0.8922664480733908
hsa-let-7f-5p,0.9724883498553014,1.0,1.0,417,1202,0.3469217970049917,9828,26380,0.3725549658832449,0.93119627645418
hsa-let-7g-3p,0.7604870193818657,1.0,1.0,106,1202,0.08818635607321132,2470,26380,0.09363153904473086,0.9418445640531637
hsa-let-7g-5p,0.9596028669126204,1.0,1.0,456,1202,0.3793677204658902,10632,26380,0.4030326004548901,0.9412829633079555
hsa-let-7i-3p,0.9988637258793206,1.0,1.0,67,1202,0.05574043261231281,2041,26380,0.07736921910538287,0.7204471397906966
hsa-let-7i-5p,0.9904331142316205,1.0,1.0,461,1202,0.38352745424292845,10962,26380,0.4155420773313116,0.9229569643247996
hsa-miR-1-3p,0.9884029791218776,1.0,1.0,264,1202,0.21963394342762063,6503,26380,0.24651250947687642,0.8909646974658822
hsa-miR-100-3p,0.9988102595744262,1.0,1.0,22,1202,0.018302828618968387,841,26380,0.03188021228203184,0.5741125076913033
hsa-miR-100-5p,0.9697910932356074,1.0,1.0,37,1202,0.030782029950083195,1068,26380,0.04048521607278241,0.7603276686172236
hsa-miR-101-2-5p,1.0,1.0,1.0,0,1202,0.0,4,26380,0.00015163002274450342,0.0
hsa-miR-101-3p,0.7925234417966924,1.0,1.0,318,1202,0.26455906821963393,7239,26380,0.2744124336618651,0.964092860841821
hsa-miR-101-5p,0.37626841871758987,1.0,1.0,38,1202,0.03161397670549085,786,26380,0.02979529946929492,1.0610390655099855
hsa-miR-10393-5p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-10394-3p,0.13056532666490528,1.0,1.0,1,1202,0.0008319467554076539,3,26380,0.00011372251705837755,7.315585135884637
hsa-miR-10395-3p,1.0,1.0,1.0,0,1202,0.0,15,26380,0.0005686125852918878,0.0
hsa-miR-10399-3p,0.5829629703318912,1.0,1.0,6,1202,0.004991680532445923,135,26380,0.00511751326762699,0.975411351451285
hsa-miR-10399-5p,0.9719151361096624,1.0,1.0,7,1202,0.005823627287853577,278,26380,0.010538286580742988,0.552616143358192
hsa-miR-103a-1-5p,0.9908716526701807,1.0,1.0,12,1202,0.009983361064891847,468,26380,0.0177407126611069,0.562737318144972
hsa-miR-103a-2-5p,0.9099986494525542,1.0,1.0,40,1202,0.033277870216306155,1060,26380,0.0401819560272934,0.8281794493454305
hsa-miR-103a-3p,0.9976950074850024,1.0,1.0,393,1202,0.326955074875208,9621,26380,0.36470811220621685,0.8964842402253389
hsa-miR-103b,0.9999610127797492,1.0,1.0,21,1202,0.01747088186356073,947,26380,0.03589840788476118,0.4866756742985555
hsa-miR-10401-3p,0.20800155369875725,1.0,1.0,1,1202,0.0008319467554076539,5,26380,0.00018953752843062926,4.389351081530783
hsa-miR-105-3p,0.9563264168904014,1.0,1.0,14,1202,0.011647254575707155,455,26380,0.017247915087187263,0.6752847817739664
hsa-miR-105-5p,0.3512671779462609,1.0,1.0,39,1202,0.0324459234608985,799,26380,0.030288097043214557,1.0712433803485637
hsa-miR-10522-5p,0.8756978656513467,1.0,1.0,4,1202,0.0033277870216306157,137,26380,0.005193328278999242,0.6407811797855156
hsa-miR-10527-5p,0.8379951131849621,1.0,1.0,1,1202,0.0008319467554076539,39,26380,0.0014783927217589083,0.5627373181449721
hsa-miR-106a-3p,0.24814863892821143,1.0,1.0,19,1202,0.015806988352745424,350,26380,0.013267626990144048,1.1913952935583552
hsa-miR-106a-5p,0.8183163571127804,1.0,1.0,379,1202,0.31530782029950083,8624,26380,0.32691432903714934,0.964496787975514
hsa-miR-106b-3p,0.9997725827217812,1.0,1.0,27,1202,0.022462562396006656,1055,26380,0.03999241849886277,0.5616705175418537
hsa-miR-106b-5p,0.6915653946450538,1.0,1.0,409,1202,0.3402662229617304,9143,26380,0.34658832448824867,0.981759046454167
hsa-miR-107,0.998269139923461,1.0,1.0,357,1202,0.29700499168053246,8841,26380,0.3351402577710387,0.886211025962272
hsa-miR-10a-3p,0.8990265149285293,1.0,1.0,8,1202,0.0066555740432612314,255,26380,0.009666413949962092,0.6885256598479659
hsa-miR-10a-5p,0.999999930102362,1.0,1.0,102,1202,0.08485856905158069,3482,26380,0.13199393479909022,0.6428974875303557
hsa-miR-10b-3p,0.24930624538820703,1.0,1.0,3,1202,0.0024958402662229617,38,26380,0.0014404852160727823,1.7326385848147825
hsa-miR-10b-5p,0.9116991355426318,1.0,1.0,138,1202,0.11480865224625623,3350,26380,0.1269901440485216,0.9040752973899223
hsa-miR-1179,0.8021775757131054,1.0,1.0,16,1202,0.013311148086522463,420,26380,0.01592115238817286,0.8360668726725299
hsa-miR-1180-3p,0.999919490475914,1.0,1.0,43,1202,0.03577371048252912,1551,26380,0.0587945413191812,0.608452922326962
hsa-miR-1182,0.9043310674846179,1.0,1.0,2,1202,0.0016638935108153079,85,26380,0.0032221379833206974,0.5163942448859744
hsa-miR-1185-1-3p,0.2448030509952388,1.0,1.0,11,1202,0.009151414309484194,189,26380,0.007164518574677786,1.2773243888052541
hsa-miR-1185-2-3p,1.0,1.0,1.0,0,1202,0.0,17,26380,0.0006444275966641395,0.0
hsa-miR-1185-5p,0.8269863659553154,1.0,1.0,16,1202,0.013311148086522463,429,26380,0.016262319939347993,0.8185270082108684
hsa-miR-1197,0.48441795219662986,1.0,1.0,17,1202,0.014143094841930116,362,26380,0.013722517058377558,1.0306487346135815
hsa-miR-12135,0.7292284913178384,1.0,1.0,1,1202,0.0008319467554076539,28,26380,0.0010614101592115238,0.7838126931304968
hsa-miR-12136,1.0,1.0,1.0,0,1202,0.0,16,26380,0.0006065200909780137,0.0
hsa-miR-122-3p,1.0,1.0,1.0,0,1202,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-122-5p,0.9999999882884735,1.0,1.0,68,1202,0.056572379367720464,2640,26380,0.10007581501137225,0.5652952150456311
hsa-miR-1224-3p,1.0,1.0,1.0,0,1202,0.0,7,26380,0.00026535253980288095,0.0
hsa-miR-1224-5p,0.8665801337808289,1.0,1.0,7,1202,0.005823627287853577,216,26380,0.008188021228203184,0.711237443766562
hsa-miR-1225-3p,0.9909803155301989,1.0,1.0,6,1202,0.004991680532445923,286,26380,0.010841546626231994,0.46042144211861347
hsa-miR-1225-5p,0.61675486213254,1.0,1.0,56,1202,0.04658901830282862,1268,26380,0.04806671721000758,0.9692573366156301
hsa-miR-1226-3p,0.9751072247555707,1.0,1.0,8,1202,0.0066555740432612314,312,26380,0.011827141774071267,0.5627373181449721
hsa-miR-1226-5p,0.5717015971865167,1.0,1.0,10,1202,0.008319467554076539,224,26380,0.00849128127369219,0.979765866413121
hsa-miR-1229-3p,0.7292284913178384,1.0,1.0,1,1202,0.0008319467554076539,28,26380,0.0010614101592115238,0.7838126931304968
hsa-miR-122b-5p,0.8717377278846786,1.0,1.0,1,1202,0.0008319467554076539,44,26380,0.0016679302501895375,0.498789895628498
hsa-miR-1234-3p,0.1893269625774241,1.0,1.0,9,1202,0.0074875207986688855,140,26380,0.00530705079605762,1.4108628476348941
hsa-miR-1236-3p,0.92070054826784,1.0,1.0,2,1202,0.0016638935108153079,90,26380,0.003411675511751327,0.48770567572564244
hsa-miR-1237-3p,1.0,1.0,1.0,0,1202,0.0,18,26380,0.0006823351023502654,0.0
hsa-miR-124-3p,0.08649533518154562,1.0,1.0,369,1202,0.3069883527454243,7627,26380,0.2891205458680819,1.0618005435196398
hsa-miR-124-5p,0.9820477296494249,1.0,1.0,20,1202,0.016638935108153077,660,26380,0.025018953752843062,0.6650531941713306
