mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-let-7a-2-3p,1.0,1.0,1.0,0,13,0.0,539,26380,0.020432145564821834,0.0
hsa-let-7a-3p,0.5789982818196112,1.0,1.0,1,13,0.07692307692307693,1698,26380,0.0643669446550417,1.1950711243997465
hsa-let-7a-5p,0.004188962883372204,0.2122943101514575,1.0,11,13,0.8461538461538461,11888,26380,0.4506444275966641,1.8776529661455639
hsa-let-7b-3p,0.6590330363559962,1.0,1.0,1,13,0.07692307692307693,2095,26380,0.07941622441243366,0.9686065724251882
hsa-let-7b-5p,0.003287999739061518,0.18861452955005953,1.0,11,13,0.8461538461538461,11593,26380,0.439461713419257,1.9254324559249947
hsa-let-7c-3p,1.0,1.0,1.0,0,13,0.0,203,26380,0.0076952236542835485,0.0
hsa-let-7c-5p,0.0011721432488906807,0.13867047493871926,1.0,11,13,0.8461538461538461,10432,26380,0.3954510993176649,2.1397180273714014
hsa-let-7d-3p,1.0,1.0,1.0,0,13,0.0,796,26380,0.030174374526156178,0.0
hsa-let-7d-5p,0.001811288600792991,0.14852566526502525,1.0,11,13,0.8461538461538461,10904,26380,0.4133434420015163,2.0470963372650828
hsa-let-7e-3p,1.0,1.0,1.0,0,13,0.0,561,26380,0.021266110689916604,0.0
hsa-let-7e-5p,0.0015398372303446913,0.13867047493871926,1.0,11,13,0.8461538461538461,10725,26380,0.4065579984836998,2.0812623274161735
hsa-let-7f-1-3p,1.0,1.0,1.0,0,13,0.0,856,26380,0.03244882486732373,0.0
hsa-let-7f-2-3p,0.783306120187195,1.0,1.0,1,13,0.07692307692307693,2927,26380,0.11095526914329037,0.6932800714830096
hsa-let-7f-5p,0.019586881887630195,0.5237361896040248,1.0,9,13,0.6923076923076923,9828,26380,0.3725549658832449,1.858269935193012
hsa-let-7g-3p,0.34729338648442354,1.0,1.0,2,13,0.15384615384615385,2470,26380,0.09363153904473086,1.6431018374338213
hsa-let-7g-5p,0.008283869004023607,0.3396386291649679,1.0,10,13,0.7692307692307693,10632,26380,0.4030326004548901,1.9086068183133647
hsa-let-7i-3p,0.07367054581078439,0.9639869292262213,1.0,3,13,0.23076923076923078,2041,26380,0.07736921910538287,2.982700787698338
hsa-let-7i-5p,0.04146097680262256,0.738557028700011,1.0,9,13,0.6923076923076923,10962,26380,0.4155420773313116,1.6660351143109764
hsa-miR-1-3p,0.6568251346562772,1.0,1.0,3,13,0.23076923076923078,6503,26380,0.24651250947687642,0.9361359845751666
hsa-miR-100-3p,0.3438004017244625,1.0,1.0,1,13,0.07692307692307693,841,26380,0.03188021228203184,2.4128784414158972
hsa-miR-100-5p,1.0,1.0,1.0,0,13,0.0,1068,26380,0.04048521607278241,0.0
hsa-miR-101-2-5p,1.0,1.0,1.0,0,13,0.0,4,26380,0.00015163002274450342,0.0
hsa-miR-101-3p,0.27110874912213695,1.0,1.0,5,13,0.38461538461538464,7239,26380,0.2744124336618651,1.4015960555537845
hsa-miR-101-5p,1.0,1.0,1.0,0,13,0.0,786,26380,0.02979529946929492,0.0
hsa-miR-10393-5p,1.0,1.0,1.0,0,13,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-10394-3p,1.0,1.0,1.0,0,13,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-10395-3p,1.0,1.0,1.0,0,13,0.0,15,26380,0.0005686125852918878,0.0
hsa-miR-10399-3p,1.0,1.0,1.0,0,13,0.0,135,26380,0.00511751326762699,0.0
hsa-miR-10399-5p,1.0,1.0,1.0,0,13,0.0,278,26380,0.010538286580742988,0.0
hsa-miR-103a-1-5p,1.0,1.0,1.0,0,13,0.0,468,26380,0.0177407126611069,0.0
hsa-miR-103a-2-5p,1.0,1.0,1.0,0,13,0.0,1060,26380,0.0401819560272934,0.0
hsa-miR-103a-3p,0.15532725757136426,1.0,1.0,7,13,0.5384615384615384,9621,26380,0.36470811220621685,1.4764177720211396
hsa-miR-103b,1.0,1.0,1.0,0,13,0.0,947,26380,0.03589840788476118,0.0
hsa-miR-10401-3p,1.0,1.0,1.0,0,13,0.0,5,26380,0.00018953752843062926,0.0
hsa-miR-105-3p,1.0,1.0,1.0,0,13,0.0,455,26380,0.017247915087187263,0.0
hsa-miR-105-5p,0.32962883838502277,1.0,1.0,1,13,0.07692307692307693,799,26380,0.030288097043214557,2.539713102917108
hsa-miR-10522-5p,1.0,1.0,1.0,0,13,0.0,137,26380,0.005193328278999242,0.0
hsa-miR-10527-5p,1.0,1.0,1.0,0,13,0.0,39,26380,0.0014783927217589083,0.0
hsa-miR-106a-3p,1.0,1.0,1.0,0,13,0.0,350,26380,0.013267626990144048,0.0
hsa-miR-106a-5p,0.42806656657306724,1.0,1.0,5,13,0.38461538461538464,8624,26380,0.32691432903714934,1.1765020693592123
hsa-miR-106b-3p,0.09312008742791036,1.0,1.0,2,13,0.15384615384615385,1055,26380,0.03999241849886277,3.8468829748450606
hsa-miR-106b-5p,0.011698471449680706,0.42320940832668436,1.0,9,13,0.6923076923076923,9143,26380,0.34658832448824867,1.9974928276361066
hsa-miR-107,0.24576069526389166,1.0,1.0,6,13,0.46153846153846156,8841,26380,0.3351402577710387,1.3771501657487406
hsa-miR-10a-3p,1.0,1.0,1.0,0,13,0.0,255,26380,0.009666413949962092,0.0
hsa-miR-10a-5p,0.2409196747384903,1.0,1.0,3,13,0.23076923076923078,3482,26380,0.13199393479909022,1.748332081473954
hsa-miR-10b-3p,1.0,1.0,1.0,0,13,0.0,38,26380,0.0014404852160727823,0.0
hsa-miR-10b-5p,0.017548550296511783,0.5098732143937539,1.0,5,13,0.38461538461538464,3350,26380,0.1269901440485216,3.0287026406429396
hsa-miR-1179,1.0,1.0,1.0,0,13,0.0,420,26380,0.01592115238817286,0.0
hsa-miR-1180-3p,1.0,1.0,1.0,0,13,0.0,1551,26380,0.0587945413191812,0.0
hsa-miR-1182,1.0,1.0,1.0,0,13,0.0,85,26380,0.0032221379833206974,0.0
hsa-miR-1185-1-3p,1.0,1.0,1.0,0,13,0.0,189,26380,0.007164518574677786,0.0
hsa-miR-1185-2-3p,1.0,1.0,1.0,0,13,0.0,17,26380,0.0006444275966641395,0.0
hsa-miR-1185-5p,1.0,1.0,1.0,0,13,0.0,429,26380,0.016262319939347993,0.0
hsa-miR-1197,1.0,1.0,1.0,0,13,0.0,362,26380,0.013722517058377558,0.0
hsa-miR-12135,1.0,1.0,1.0,0,13,0.0,28,26380,0.0010614101592115238,0.0
hsa-miR-12136,1.0,1.0,1.0,0,13,0.0,16,26380,0.0006065200909780137,0.0
hsa-miR-122-3p,1.0,1.0,1.0,0,13,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-122-5p,0.7461751390404916,1.0,1.0,1,13,0.07692307692307693,2640,26380,0.10007581501137225,0.7686480186480187
hsa-miR-1224-3p,1.0,1.0,1.0,0,13,0.0,7,26380,0.00026535253980288095,0.0
hsa-miR-1224-5p,1.0,1.0,1.0,0,13,0.0,216,26380,0.008188021228203184,0.0
hsa-miR-1225-3p,1.0,1.0,1.0,0,13,0.0,286,26380,0.010841546626231994,0.0
hsa-miR-1225-5p,1.0,1.0,1.0,0,13,0.0,1268,26380,0.04806671721000758,0.0
hsa-miR-1226-3p,1.0,1.0,1.0,0,13,0.0,312,26380,0.011827141774071267,0.0
hsa-miR-1226-5p,1.0,1.0,1.0,0,13,0.0,224,26380,0.00849128127369219,0.0
hsa-miR-1229-3p,1.0,1.0,1.0,0,13,0.0,28,26380,0.0010614101592115238,0.0
hsa-miR-122b-5p,1.0,1.0,1.0,0,13,0.0,44,26380,0.0016679302501895375,0.0
hsa-miR-1234-3p,1.0,1.0,1.0,0,13,0.0,140,26380,0.00530705079605762,0.0
hsa-miR-1236-3p,1.0,1.0,1.0,0,13,0.0,90,26380,0.003411675511751327,0.0
hsa-miR-1237-3p,1.0,1.0,1.0,0,13,0.0,18,26380,0.0006823351023502654,0.0
hsa-miR-124-3p,0.143748810769277,1.0,1.0,6,13,0.46153846153846156,7627,26380,0.2891205458680819,1.5963530372865629
hsa-miR-124-5p,1.0,1.0,1.0,0,13,0.0,660,26380,0.025018953752843062,0.0
hsa-miR-1244,1.0,1.0,1.0,0,13,0.0,40,26380,0.001516300227445034,0.0
hsa-miR-1246,1.0,1.0,1.0,0,13,0.0,456,26380,0.01728582259287339,0.0
hsa-miR-1247-5p,1.0,1.0,1.0,0,13,0.0,48,26380,0.0018195602729340408,0.0
hsa-miR-1248,1.0,1.0,1.0,0,13,0.0,58,26380,0.0021986353297952996,0.0
hsa-miR-1249-3p,1.0,1.0,1.0,0,13,0.0,234,26380,0.00887035633055345,0.0
hsa-miR-1250-5p,1.0,1.0,1.0,0,13,0.0,112,26380,0.004245640636846095,0.0
hsa-miR-1251-5p,1.0,1.0,1.0,0,13,0.0,87,26380,0.0032979529946929494,0.0
hsa-miR-1252-5p,1.0,1.0,1.0,0,13,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-1255a,1.0,1.0,1.0,0,13,0.0,387,26380,0.014670204700530706,0.0
hsa-miR-125a-3p,0.7127393274849632,1.0,1.0,1,13,0.07692307692307693,2413,26380,0.09147081122062169,0.8409576333322707
hsa-miR-125a-5p,0.19845826517286227,1.0,1.0,2,13,0.15384615384615385,1677,26380,0.06357088703563306,2.4200724737397366
hsa-miR-125b-1-3p,1.0,1.0,1.0,0,13,0.0,1936,26380,0.07338893100833965,0.0
hsa-miR-125b-2-3p,1.0,1.0,1.0,0,13,0.0,965,26380,0.03658074298711145,0.0
hsa-miR-125b-5p,0.6147751466370319,1.0,1.0,1,13,0.07692307692307693,1866,26380,0.07073540561031084,1.087476296479512
hsa-miR-126-3p,0.4433184209509892,1.0,1.0,1,13,0.07692307692307693,1162,26380,0.04404852160727824,1.7463259631934331
hsa-miR-126-5p,0.43957533040588315,1.0,1.0,1,13,0.07692307692307693,1149,26380,0.043555724033358605,1.7660842203923146
hsa-miR-1260a,1.0,1.0,1.0,0,13,0.0,105,26380,0.003980288097043215,0.0
hsa-miR-1260b,1.0,1.0,1.0,0,13,0.0,153,26380,0.005799848369977255,0.0
hsa-miR-1262,1.0,1.0,1.0,0,13,0.0,102,26380,0.003866565579984837,0.0
hsa-miR-1263,1.0,1.0,1.0,0,13,0.0,36,26380,0.0013646702047005307,0.0
hsa-miR-1264,1.0,1.0,1.0,0,13,0.0,374,26380,0.014177407126611068,0.0
hsa-miR-1266-5p,1.0,1.0,1.0,0,13,0.0,987,26380,0.037414708112206214,0.0
hsa-miR-1267,1.0,1.0,1.0,0,13,0.0,6,26380,0.0002274450341167551,0.0
hsa-miR-1268a,1.0,1.0,1.0,0,13,0.0,137,26380,0.005193328278999242,0.0
hsa-miR-1268b,1.0,1.0,1.0,0,13,0.0,125,26380,0.0047384382107657315,0.0
hsa-miR-1269a,1.0,1.0,1.0,0,13,0.0,641,26380,0.02429871114480667,0.0
hsa-miR-1269b,1.0,1.0,1.0,0,13,0.0,490,26380,0.018574677786201668,0.0
hsa-miR-127-3p,0.020502324134217646,0.5253720559393272,1.0,2,13,0.15384615384615385,456,26380,0.01728582259287339,8.900134952766532
hsa-miR-127-5p,0.4944074189065639,1.0,1.0,1,13,0.07692307692307693,1348,26380,0.05109931766489765,1.5053640721296508
hsa-miR-1270,1.0,1.0,1.0,0,13,0.0,1125,26380,0.04264594389689159,0.0
hsa-miR-1271-3p,0.3029114025553386,1.0,1.0,1,13,0.07692307692307693,722,26380,0.027369219105382866,2.8105689324525893
hsa-miR-1271-5p,0.19980921362150414,1.0,1.0,3,13,0.23076923076923078,3176,26380,0.12039423805913571,1.9167796938577795
hsa-miR-1273h-3p,1.0,1.0,1.0,0,13,0.0,102,26380,0.003866565579984837,0.0
hsa-miR-1273h-5p,1.0,1.0,1.0,0,13,0.0,920,26380,0.034874905231235785,0.0
hsa-miR-1275,1.0,1.0,1.0,0,13,0.0,876,26380,0.033206974981046244,0.0
hsa-miR-1276,0.08336219147505258,1.0,1.0,1,13,0.07692307692307693,176,26380,0.00667172100075815,11.52972027972028
hsa-miR-1277-3p,1.0,1.0,1.0,0,13,0.0,78,26380,0.0029567854435178166,0.0
hsa-miR-1277-5p,1.0,1.0,1.0,0,13,0.0,29,26380,0.0010993176648976498,0.0
hsa-miR-1278,1.0,1.0,1.0,0,13,0.0,9,26380,0.0003411675511751327,0.0
hsa-miR-128-1-5p,0.2081715018561635,1.0,1.0,2,13,0.15384615384615385,1730,26380,0.06557998483699773,2.3459315251222765
hsa-miR-128-2-5p,1.0,1.0,1.0,0,13,0.0,35,26380,0.001326762699014405,0.0
hsa-miR-128-3p,0.37605783710039076,1.0,1.0,3,13,0.23076923076923078,4425,26380,0.1677407126611069,1.3757496740547588
hsa-miR-1282,1.0,1.0,1.0,0,13,0.0,60,26380,0.002274450341167551,0.0
hsa-miR-1283,1.0,1.0,1.0,0,13,0.0,151,26380,0.005724033358605004,0.0
hsa-miR-1284,1.0,1.0,1.0,0,13,0.0,213,26380,0.008074298711144807,0.0
hsa-miR-1285-3p,1.0,1.0,1.0,0,13,0.0,3400,26380,0.1288855193328279,0.0
hsa-miR-1285-5p,1.0,1.0,1.0,0,13,0.0,242,26380,0.009173616376042457,0.0
hsa-miR-1286,0.04724273941534956,0.7960078011079447,1.0,1,13,0.07692307692307693,98,26380,0.0037149355572403337,20.706436420722135
hsa-miR-1287-3p,0.11821396072612662,1.0,1.0,1,13,0.07692307692307693,254,26380,0.009628506444275967,7.989097516656572
hsa-miR-1287-5p,0.4988540618455017,1.0,1.0,1,13,0.07692307692307693,1365,26380,0.05174374526156179,1.48661594815441
hsa-miR-1288-3p,1.0,1.0,1.0,0,13,0.0,13,26380,0.0004927975739196361,0.0
hsa-miR-129-1-3p,1.0,1.0,1.0,0,13,0.0,633,26380,0.023995451099317666,0.0
hsa-miR-129-2-3p,0.7291236619727475,1.0,1.0,1,13,0.07692307692307693,2521,26380,0.09556482183472327,0.804930888231166
hsa-miR-129-5p,1.0,1.0,1.0,0,13,0.0,355,26380,0.013457164518574679,0.0
hsa-miR-1290,1.0,1.0,1.0,0,13,0.0,810,26380,0.03070507960576194,0.0
hsa-miR-1291,1.0,1.0,1.0,0,13,0.0,56,26380,0.0021228203184230476,0.0
hsa-miR-1292-5p,1.0,1.0,1.0,0,13,0.0,525,26380,0.01990144048521607,0.0
hsa-miR-1293,1.0,1.0,1.0,0,13,0.0,391,26380,0.014821834723275208,0.0
hsa-miR-1294,1.0,1.0,1.0,0,13,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-1295a,1.0,1.0,1.0,0,13,0.0,54,26380,0.002047005307050796,0.0
hsa-miR-1296-3p,1.0,1.0,1.0,0,13,0.0,104,26380,0.003942380591357089,0.0
hsa-miR-1296-5p,0.541617462541412,1.0,1.0,1,13,0.07692307692307693,1536,26380,0.05822592873388931,1.3211137820512822
hsa-miR-1297,1.0,1.0,1.0,0,13,0.0,285,26380,0.010803639120545869,0.0
hsa-miR-1298-5p,1.0,1.0,1.0,0,13,0.0,299,26380,0.01133434420015163,0.0
hsa-miR-1299,1.0,1.0,1.0,0,13,0.0,406,26380,0.015390447308567097,0.0
hsa-miR-1301-3p,0.5609010700991515,1.0,1.0,2,13,0.15384615384615385,3690,26380,0.13987869598180439,1.0998540754638317
hsa-miR-1302,1.0,1.0,1.0,0,13,0.0,65,26380,0.0024639878695981803,0.0
hsa-miR-1303,1.0,1.0,1.0,0,13,0.0,475,26380,0.01800606520090978,0.0
hsa-miR-1304-3p,1.0,1.0,1.0,0,13,0.0,1313,26380,0.049772554965883245,0.0
hsa-miR-1304-5p,1.0,1.0,1.0,0,13,0.0,250,26380,0.009476876421531463,0.0
hsa-miR-1305,1.0,1.0,1.0,0,13,0.0,111,26380,0.00420773313115997,0.0
hsa-miR-1306-3p,1.0,1.0,1.0,0,13,0.0,113,26380,0.004283548142532221,0.0
hsa-miR-1306-5p,1.0,1.0,1.0,0,13,0.0,191,26380,0.007240333586050038,0.0
hsa-miR-1307-3p,0.2544363291518358,1.0,1.0,1,13,0.07692307692307693,589,26380,0.02232752084912813,3.4452135301031737
hsa-miR-1307-5p,0.2120133252714356,1.0,1.0,1,13,0.07692307692307693,479,26380,0.018157695223654284,4.236389914886783
hsa-miR-130a-3p,0.00021478801453676428,0.10657728122563496,0.2641892578802201,9,13,0.6923076923076923,5449,26380,0.20655799848369977,3.3516382681367083
hsa-miR-130a-5p,1.0,1.0,1.0,0,13,0.0,154,26380,0.005837755875663381,0.0
hsa-miR-130b-3p,0.004747077092850786,0.22457326246947948,1.0,8,13,0.6153846153846154,6426,26380,0.24359363153904473,2.526275467451938
hsa-miR-130b-5p,0.5734195659918621,1.0,1.0,1,13,0.07692307692307693,1673,26380,0.06341925701288856,1.2129293300841417
hsa-miR-132-3p,0.056758647859183636,0.8311087722237603,1.0,4,13,0.3076923076923077,3096,26380,0.11736163760424564,2.621745179884715
hsa-miR-132-5p,1.0,1.0,1.0,0,13,0.0,349,26380,0.013229719484457923,0.0
hsa-miR-1323,1.0,1.0,1.0,0,13,0.0,72,26380,0.0027293404094010615,0.0
hsa-miR-133a-3p,0.5449649167500593,1.0,1.0,1,13,0.07692307692307693,1550,26380,0.05875663381349507,1.309181141439206
hsa-miR-133a-5p,0.1265161467887513,1.0,1.0,1,13,0.07692307692307693,273,26380,0.010348749052312358,7.433079740772048
